word;tag;freq_A1;freq_A2;freq_B1;freq_B2;freq_C1;freq_C2
adonner;VER;0.0;0.0;0.438;0.911;6.0005;19.328
adopter;VER;1.8928;30.5842;31.0289;29.9042;146.4853;162.4685
adoptif;ADJ;0.0;6.5376;0.0;1.6204;0.0;0.0
adoption;NOM;0.0;0.0;0.5857;0.0;80.2715;0.0
adorable;ADJ;26.1666;4.4239;5.5691;0.0;0.0;0.0
adorateur;NOM;0.0;0.0;0.438;0.0;0.0;0.0
adoration;NOM;0.0;0.0;0.3059;0.0;0.0;0.0
adorer;VER;637.3647;149.3208;55.1359;27.2478;6.0005;4.0185
adosser;VER;0.0;0.0;0.0;0.0;6.0005;0.0
adoubement;NOM;0.8346;0.186;0.0;0.0;0.0;0.0
adoucir;VER;0.0;0.0;0.8759;0.0;0.0;0.0
adresse;NOM;115.6474;49.1789;40.0504;74.5107;56.8202;19.328
adresser;VER;0.0;89.6519;135.6924;64.9101;40.0479;86.9662
adroit;ADJ;0.0;3.2038;0.2331;1.8983;0.0;0.0
adroitement;ADV;0.0;1.0679;0.4665;0.0;0.0;0.0
aduler;VER;0.0;0.0;0.4317;0.0;0.0;0.0
adulte;ADJ;7.2839;0.6228;32.422;13.6738;0.0;56.7717
adulte;NOM;94.6392;24.9072;20.5411;22.7812;29.205;77.4712
adultère;ADJ;0.0;0.0;0.0;0.0;6.0005;0.0
adultérer;VER;0.0;0.0;0.0;0.0;4.139;0.0
advenir;VER;0.0;0.0;0.1243;4.5679;0.0;93.687
adversaire;NOM;2.5037;0.0;26.7539;13.3179;27.9938;0.0
adversité;NOM;0.0;0.0;2.6373;0.0;0.0;0.0
adéquat;ADJ;0.0;0.0;0.438;0.0;0.0;12.833
affadissement;NOM;0.0;0.0;0.0;0.0;3.4423;0.0
affaiblir;VER;0.0;0.0;3.7375;0.8102;0.0;56.7717
affaire;NOM;146.1787;177.0652;253.0222;670.0592;163.7491;190.5105
affairer;VER;0.0;0.0;0.1243;1.8983;0.0;0.0
affaler;VER;0.0;0.4664;0.0;0.0;0.0;0.0
affamer;VER;0.0;0.0;0.5857;0.911;0.0;0.0
affamé;ADJ;0.0;0.0;0.2331;0.0;0.0;0.0
affect;NOM;0.0;0.0;0.0;0.0;0.0;12.833
affectation;NOM;0.0;0.0;0.4317;0.0;3.4423;0.0
affecter;VER;0.0;0.0;0.438;8.2287;65.9532;12.833
affectif;ADJ;0.0;0.0;13.4271;8.2319;3.4423;12.833
affection;NOM;0.8346;0.0;2.8865;0.0;0.0;19.328
affectionner;VER;0.0;0.0;0.0;8.7861;0.0;0.0
affectivement;ADV;0.0;0.0;0.0;1.2705;0.0;0.0
